------------ Options -------------
basenet: vgg16_reducedfc.pth
batch_size: 32
cuda: True
debug: False
display_id: 1
gamma: 0.1
iterations: 130000
jaccard_threshold: 0.5
lr: 0.0001
momentum: 0.9
no_pretrain: False
num_workers: 2
phase: train
port_id: 8097
resume: None
save_folder: result/renew_ssd512_default/train
schedule: [80000, 100000, 120000]
send_images_to_visdom: False
ssd_dim: 512
start_iter: 0
version: v2
visdom: False
voc_root: /home/hongyang/data/VOCdevkit/
weight_decay: 0.0005
-------------- End ----------------
================ Training Loss (Tue Sep 12 22:55:14 2017) ================
iter 8250 || Loss: 5.3009 || time: 0.5295 sec/iter
iter 8300 || Loss: 5.8656 || time: 0.5307 sec/iter
iter 8350 || Loss: 5.6113 || time: 0.5297 sec/iter
iter 8400 || Loss: 5.0911 || time: 0.5294 sec/iter
iter 8450 || Loss: 5.2447 || time: 0.5306 sec/iter
iter 8500 || Loss: 5.4758 || time: 0.5317 sec/iter
iter 8550 || Loss: 4.8377 || time: 0.5316 sec/iter
iter 8600 || Loss: 5.0519 || time: 0.5304 sec/iter
iter 8650 || Loss: 5.6013 || time: 0.5343 sec/iter
iter 8700 || Loss: 5.3590 || time: 0.5291 sec/iter
iter 8750 || Loss: 5.4676 || time: 0.5334 sec/iter
iter 8800 || Loss: 4.8126 || time: 0.5305 sec/iter
iter 8850 || Loss: 4.9392 || time: 0.5294 sec/iter
iter 8900 || Loss: 5.2435 || time: 0.5323 sec/iter
iter 8950 || Loss: 5.7593 || time: 0.5307 sec/iter
iter 9000 || Loss: 5.2110 || time: 0.5298 sec/iter
iter 9050 || Loss: 6.1218 || time: 0.5297 sec/iter
iter 9100 || Loss: 5.5194 || time: 0.5299 sec/iter
iter 9150 || Loss: 5.4309 || time: 0.5321 sec/iter
iter 9200 || Loss: 5.9462 || time: 0.5321 sec/iter
iter 9250 || Loss: 5.9334 || time: 0.5320 sec/iter
iter 9300 || Loss: 5.4656 || time: 0.5303 sec/iter
iter 9350 || Loss: 5.2387 || time: 0.5297 sec/iter
iter 9400 || Loss: 5.7557 || time: 0.5313 sec/iter
iter 9450 || Loss: 5.1524 || time: 0.5343 sec/iter
iter 9500 || Loss: 5.3173 || time: 0.5309 sec/iter
iter 9550 || Loss: 5.1668 || time: 0.5308 sec/iter
iter 9600 || Loss: 4.9071 || time: 0.5309 sec/iter
iter 9650 || Loss: 5.1145 || time: 0.5295 sec/iter
iter 9700 || Loss: 5.3382 || time: 0.5344 sec/iter
iter 9750 || Loss: 5.2727 || time: 0.5320 sec/iter
iter 9800 || Loss: 5.7529 || time: 0.5301 sec/iter
iter 9850 || Loss: 4.5518 || time: 0.5374 sec/iter
iter 9900 || Loss: 4.9536 || time: 0.5314 sec/iter
iter 9950 || Loss: 4.7526 || time: 0.5314 sec/iter
iter 10000 || Loss: 5.3450 || time: 0.5329 sec/iter
iter 10050 || Loss: 5.0295 || time: 0.5321 sec/iter
iter 10100 || Loss: 4.9745 || time: 0.5324 sec/iter
iter 10150 || Loss: 5.2020 || time: 0.5319 sec/iter
iter 10200 || Loss: 5.1578 || time: 0.5293 sec/iter
iter 10250 || Loss: 5.2883 || time: 0.5306 sec/iter
iter 10300 || Loss: 5.3363 || time: 0.5301 sec/iter
iter 10350 || Loss: 5.3211 || time: 0.5306 sec/iter
iter 10400 || Loss: 5.6343 || time: 0.5301 sec/iter
iter 10450 || Loss: 4.8817 || time: 0.5322 sec/iter
iter 10500 || Loss: 4.9570 || time: 0.5313 sec/iter
iter 10550 || Loss: 4.9357 || time: 0.5310 sec/iter
iter 10600 || Loss: 5.1982 || time: 0.5316 sec/iter
iter 10650 || Loss: 5.4502 || time: 0.5307 sec/iter
iter 10700 || Loss: 4.9243 || time: 0.5306 sec/iter
iter 10750 || Loss: 4.9960 || time: 0.5297 sec/iter
iter 10800 || Loss: 4.5724 || time: 0.5300 sec/iter
iter 10850 || Loss: 4.8613 || time: 0.5339 sec/iter
iter 10900 || Loss: 5.1448 || time: 0.5302 sec/iter
iter 10950 || Loss: 5.0540 || time: 0.5315 sec/iter
iter 11000 || Loss: 4.8015 || time: 0.5314 sec/iter
iter 11050 || Loss: 5.1117 || time: 0.5304 sec/iter
iter 11100 || Loss: 5.4740 || time: 0.5339 sec/iter
iter 11150 || Loss: 5.1403 || time: 0.5297 sec/iter
iter 11200 || Loss: 5.5495 || time: 0.5308 sec/iter
iter 11250 || Loss: 4.6830 || time: 0.5320 sec/iter
iter 11300 || Loss: 4.8151 || time: 0.5319 sec/iter
iter 11350 || Loss: 5.0197 || time: 0.5306 sec/iter
